"ID";"TO_SERVICE";"XPRESSBEES_SERVICE";"DHL_SERVICE";"BLUEDART_SERVICE";"GATI_SERVICE";"DPWORLD_SERVICE"
1;110001;"Normal";"Non-ODA";"Normal";"";"DIRECT"
2;110002;"Normal";"Non-ODA";"Normal";"";"DIRECT"
3;110003;"Normal";"Non-ODA";"Normal";"";"DIRECT"
4;110004;"Normal";"Non-ODA";"Normal";"";"DIRECT"
5;110005;"Normal";"Non-ODA";"Normal";"";"DIRECT"
6;110006;"Normal";"Non-ODA";"Normal";"";"DIRECT"
7;110007;"Normal";"Non-ODA";"Normal";"";"DIRECT"
8;110008;"Normal";"Non-ODA";"Normal";"";"DIRECT"
9;110009;"Normal";"Non-ODA";"Normal";"";"DIRECT"
10;110010;"Normal";"Non-ODA";"Normal";"";"DIRECT"
11;110011;"Normal";"Non-ODA";"Normal";"";"DIRECT"
12;110012;"Normal";"Non-ODA";"Normal";"";"DIRECT"
13;110013;"Normal";"Non-ODA";"Normal";"";"DIRECT"
14;110014;"Normal";"Non-ODA";"Normal";"";"DIRECT"
15;110015;"Normal";"Non-ODA";"Normal";"";"DIRECT"
16;110016;"Normal";"Non-ODA";"Normal";"";"DIRECT"
17;110017;"Normal";"Non-ODA";"Normal";"";"DIRECT"
18;110018;"Normal";"Non-ODA";"Normal";"";"DIRECT"
19;110019;"Normal";"Non-ODA";"Normal";"";"DIRECT"
20;110020;"Normal";"Non-ODA";"Normal";"";"DIRECT"
21;110021;"Normal";"Non-ODA";"Normal";"";"DIRECT"
22;110022;"Normal";"Non-ODA";"Normal";"";"DIRECT"
23;110023;"Normal";"Non-ODA";"Normal";"";"DIRECT"
24;110024;"Normal";"Non-ODA";"Normal";"";"DIRECT"
25;110025;"Normal";"Non-ODA";"Normal";"";"DIRECT"
26;110026;"Normal";"Non-ODA";"Normal";"";"DIRECT"
27;110027;"Normal";"Non-ODA";"Normal";"";"DIRECT"
28;110028;"Normal";"Non-ODA";"Normal";"";"DIRECT"
29;110029;"Normal";"Non-ODA";"Normal";"";"DIRECT"
30;110030;"Normal";"Non-ODA";"Normal";"";"DIRECT"
31;110031;"Normal";"Non-ODA";"Normal";"";"DIRECT"
